expediente|cod_plan|des_plan|anio_apertura_expediente|exp_cerrado|exp_trasladado|tipo_traslado|exp_bloqueado|abandona|anio_convocatoria_acceso|convocatoria_acceso|acceso|des_acceso|sub_acceso|des_subacesso|nota_acceso|nota_admision_def|centro_escolar_acceso|sexo|fecha_nacimiento|cod_provincia|provincia|cod_municipio|municipio
645|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1997-98|SEP|5|Título Universitario|2|Curso de Adaptación||||H|1975-11-15|6.0|BADAJOZ|345.0|JEREZ DE LOS CABALLEROS
646|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1998-99|FEB|5|Título Universitario|2|Curso de Adaptación||||H|1973-05-31|6.0|BADAJOZ|55.0|ALMENDRALEJO
647|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1988-89|SEP|5|Título Universitario|2|Curso de Adaptación||||H|1962-08-21|6.0|BADAJOZ|215.0|DON BENITO
648|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2001-02|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1978-03-14|51.0|CEUTA|1.0|CEUTA
649|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2008-09|FEB|5|Título Universitario|2|Curso de Adaptación||||D|1987-01-15|6.0|BADAJOZ|795.0|ZALAMEA DE LA SERENA
650|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1997-98|FEX|5|Título Universitario|2|Curso de Adaptación||||H|1971-12-06|6.0|BADAJOZ|1.0|BADAJOZ
651|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2002-03|SEP|5|Título Universitario|2|Curso de Adaptación||||H|1977-11-28|6.0|BADAJOZ|1.0|BADAJOZ
652|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2008-09|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1982-09-02|6.0|BADAJOZ|1.0|BADAJOZ
653|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1998-99|FEX|5|Título Universitario|2|Curso de Adaptación||||H|1976-01-02|6.0|BADAJOZ|604.0|SANTA MARTA
654|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1998-99|FEX|5|Título Universitario|2|Curso de Adaptación||||H|1972-12-17|6.0|BADAJOZ|1.0|BADAJOZ
655|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1997-98|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1978-03-18|6.0|BADAJOZ|1.0|BADAJOZ
656|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1985-86|FEB|5|Título Universitario|2|Curso de Adaptación||||H|1960-06-09|6.0|BADAJOZ|610.0|LOS SANTOS DE MAIMONA
657|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1992-93|JUN|5|Título Universitario|2|Curso de Adaptación||||D|1975-11-26|6.0|BADAJOZ|345.0|JEREZ DE LOS CABALLEROS
658|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1990-91|JUN|5|Título Universitario|2|Curso de Adaptación||||D|1973-01-08|6.0|BADAJOZ|1.0|BADAJOZ
659|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2004-05|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1972-04-12|6.0|BADAJOZ|265.0|FUENTE DEL MAESTRE
660|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1992-93|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1975-04-19|6.0|BADAJOZ|215.0|DON BENITO
661|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1982-83|FEB|5|Título Universitario|2|Curso de Adaptación||||H|1957-07-13|6.0|BADAJOZ|1.0|BADAJOZ
662|1626|GRADO EN EDIFICACIÓN|2010-11|N|N||N|S|1996-97|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1974-12-12|6.0|BADAJOZ|1.0|BADAJOZ
663|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1992-93|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1974-07-06|6.0|BADAJOZ|215.0|DON BENITO
664|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1985-86|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1966-11-17|6.0|BADAJOZ|215.0|DON BENITO
665|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1997-98|JUN|5|Título Universitario|2|Curso de Adaptación||||D|1978-05-28|6.0|BADAJOZ|1.0|BADAJOZ
666|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1992-93|SEP|5|Título Universitario|2|Curso de Adaptación||||H|1973-09-01|21.0|HUELVA|70.0|ARACENA
667|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1993-94|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1976-02-08|6.0|BADAJOZ|1.0|BADAJOZ
668|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2000-01|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1981-09-22|10.0|CÁCERES|584.0|PLASENCIA
669|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1993-94|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1973-06-12|6.0|BADAJOZ|740.0|VILLAFRANCA DE LOS BARROS
670|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2007-08|FEB|5|Título Universitario|2|Curso de Adaptación||||D|1986-02-03|6.0|BADAJOZ|760.0|VILLANUEVA DE LA SERENA
671|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1994-95|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1977-10-26|6.0|BADAJOZ|1.0|BADAJOZ
672|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1992-93|OCT|5|Título Universitario|2|Curso de Adaptación||||H|1965-06-22|24.0|LEÓN|1.0|LEÓN
673|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1990-91|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1973-11-07|6.0|BADAJOZ|740.0|VILLAFRANCA DE LOS BARROS
674|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1995-96|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1974-02-25|6.0|BADAJOZ|160.0|CASAS DE DON PEDRO
675|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|1993-94|JUN|5|Título Universitario|2|Curso de Adaptación||||D|1969-09-11|6.0|BADAJOZ|1.0|BADAJOZ
676|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2006-07|FEB|5|Título Universitario|2|Curso de Adaptación||||H|1984-08-27|6.0|BADAJOZ|1.0|BADAJOZ
677|1626|GRADO EN EDIFICACIÓN|2010-11|S|N||N|N|2008-09|JUN|5|Título Universitario|2|Curso de Adaptación||||H|1985-12-13|6.0|BADAJOZ|760.0|VILLANUEVA DE LA SERENA
