expediente|cod_plan|des_plan|anio_apertura_expediente|exp_cerrado|exp_trasladado|tipo_traslado|exp_bloqueado|abandona|anio_convocatoria_acceso|convocatoria_acceso|acceso|des_acceso|sub_acceso|des_subacesso|nota_acceso|nota_admision_def|centro_escolar_acceso|sexo|fecha_nacimiento|cod_provincia|provincia|cod_municipio|municipio
241|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|S|N|N|N|N|2011-12|JUN|1|Selectividad|5|LOE (Grados)|8.976|11.976|230-I.E.S. EL BROCENSE|D|1994-06-22|10.0|CÁCERES|1.0|CÁCERES
248|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|S|N|N|N|N|2011-12|JUN|1|Selectividad|5|LOE (Grados)|6.642|9.242|230-I.E.S. EL BROCENSE|H|1994-10-17|10.0|CÁCERES|1.0|CÁCERES
249|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|N|N|N|N|N|2011-12|JUN|1|Selectividad|5|LOE (Grados)|7.696|9.896|230-I.E.S. EL BROCENSE|H|1994-05-11|10.0|CÁCERES|1.0|CÁCERES
254|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|N|N|N|N|S|2009-10|JUN|4|Mayores de 25/40/45 años|2|P.A.U. MAYORES DE 25 (Grados)|6.3||MAYBA-Pruebas de Mayores - Badajoz|H|1980-10-27|6.0|BADAJOZ|410.0|MÉRIDA
255|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|N|N|N|S|S|2008-09|JUN|4|Mayores de 25/40/45 años|1|MAYORES 25 (anteriores a 2009-10)|5.0|||H|1983-07-27|10.0|CÁCERES|1.0|CÁCERES
257|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|S|N|N|N|N|2011-12|JUN|1|Selectividad|5|LOE (Grados)|6.84|8.64|230-I.E.S. EL BROCENSE|H|1994-06-14|10.0|CÁCERES|1.0|CÁCERES
259|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|S|N|N|N|N|2011-12|JUN|1|Selectividad|5|LOE (Grados)|7.636|10.136|170-I.E.S. SANTA EULALIA|D|1994-01-18|6.0|BADAJOZ|410.0|MÉRIDA
261|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|S|N|N|N|N|2011-12|JUN|1|Selectividad|5|LOE (Grados)|7.332|8.432|139-I.E.S. ENRIQUE DÍEZ CANEDO|H|1994-07-20|6.0|BADAJOZ|510.0|PUEBLA DE LA CALZADA
265|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|S|N|N|N|N|2011-12|JUN|3|Formación Profesional|1|Ciclos formativos|7.15|7.15||H|1991-05-10||||
266|1632|GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DEL SOFTWARE|2012-13|S|N|N|N|N|2011-12|JUN|3|Formación Profesional|2|Formación Profesional II|10.0|10.0||H|1990-02-16|10.0|CÁCERES|516.0|NAVALMORAL DE LA MATA
